Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
North Sumatra,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.49420289855072463,0.6666666666666665,0.3884007029876977,0.4526495726495725,Moderate
North Sumatra,0.6666666666667425,0.7999999999999998,0.7777777777777779,0.582608695652174,0.6666666666666665,0.523725834797891,0.707008547008547,High
North Sumatra,1.0,0.7999999999999998,0.8888888888888888,0.6521739130434784,0.6666666666666665,0.4586994727592266,0.7859829059829062,Moderate
Papua,0.0,0.0,0.0,0.18840579710144933,0.6666666666666665,0.523725834797891,0.0,Moderate
Papua,0.6666666666667425,0.3999999999999999,0.6666666666666667,0.4565217391304349,0.33333333333333304,0.813708260105448,0.40717948717948715,Moderate
Riau,0.0,0.3999999999999999,0.1111111111111111,0.5652173913043478,0.6666666666666665,0.523725834797891,0.38222222222222224,Moderate
Riau,0.33333333333337123,0.7999999999999998,0.5555555555555556,0.4434782608695652,0.6666666666666665,0.5518453427065024,0.5384615384615388,Moderate
Riau,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5188405797101449,0.6666666666666665,0.5325131810193322,0.6909401709401712,High
Riau,1.0,0.7999999999999998,0.8888888888888888,0.5797101449275363,0.6666666666666665,0.5465729349736379,0.7750427350427351,Moderate
Riau Islands,0.0,0.3999999999999999,0.22222222222222227,0.5507246376811595,0.6666666666666665,0.523725834797891,0.42188034188034185,Moderate
Riau Islands,0.33333333333337123,0.5999999999999999,0.6666666666666667,0.5434782608695653,0.6666666666666665,0.523725834797891,0.608888888888889,High
Riau Islands,0.6666666666667425,0.5999999999999999,0.7777777777777779,0.4927536231884059,0.6666666666666665,0.8066783831282951,0.6153846153846154,High
Riau Islands,1.0,0.7999999999999998,0.7777777777777779,0.7536231884057972,0.33333333333333304,0.353251318101933,0.7446153846153845,Moderate
South East Sulawesi,0.0,0.5999999999999999,0.22222222222222227,0.3188405797101449,0.6666666666666665,0.523725834797891,0.4092307692307693,Moderate
South East Sulawesi,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.3652173913043478,0.6666666666666665,0.6783831282952546,0.4652991452991453,Moderate
South East Sulawesi,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5304347826086956,0.6666666666666665,0.6555360281195077,0.7251282051282053,High
South East Sulawesi,1.0,1.0,0.8888888888888888,0.5942028985507247,1.0,0.5641476274165202,0.8205128205128203,Moderate
South Kalimantan,0.0,0.3999999999999999,0.22222222222222227,0.4927536231884059,0.6666666666666665,0.523725834797891,0.4044444444444444,Moderate
South Kalimantan,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.47246376811594193,0.6666666666666665,0.35852372583479775,0.5753846153846154,Moderate
South Kalimantan,0.6666666666667425,0.5999999999999999,0.8888888888888888,0.6652173913043479,0.33333333333333304,0.37434094903339177,0.7155555555555559,High
South Kalimantan,1.0,0.7999999999999998,0.8888888888888888,0.6231884057971014,0.6666666666666665,0.4586994727592266,0.7904273504273505,Moderate
South Sulawesi,0.0,0.5999999999999999,0.1111111111111111,0.6666666666666666,0.6666666666666665,0.523725834797891,0.5087179487179485,Moderate
South Sulawesi,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.6768115942028986,0.6666666666666665,0.5202108963093144,0.6523076923076925,High
South Sulawesi,1.0,0.7999999999999998,0.8888888888888888,0.9420289855072465,0.33333333333333304,0.5641476274165202,0.8266666666666667,Moderate
South Sumatra,0.0,0.3999999999999999,0.1111111111111111,0.39130434782608703,0.6666666666666665,0.523725834797891,0.2858119658119658,Moderate
South Sumatra,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.3507246376811596,0.0,0.2864674868189807,0.39282051282051267,Moderate
South Sumatra,0.6666666666667425,0.5999999999999999,0.7777777777777779,0.46376811594202894,0.33333333333333304,0.44991212653778545,0.5982905982905984,High
South Sumatra,1.0,0.7999999999999998,0.7777777777777779,0.6521739130434784,0.6666666666666665,0.3356766256590509,0.6882051282051282,Moderate
West Java,0.0,0.7999999999999998,0.22222222222222227,0.7536231884057972,0.6666666666666665,0.523725834797891,0.6434188034188035,High
West Java,0.33333333333337123,1.0,0.6666666666666667,0.7057971014492755,0.6666666666666665,0.5852372583479788,0.7288888888888891,High
West Java,1.0,1.0,0.8888888888888888,0.8550724637681161,0.6666666666666665,0.8980667838312826,0.9042735042735042,Moderate
West Kalimantan,0.0,0.3999999999999999,0.1111111111111111,0.5072463768115943,0.6666666666666665,0.523725834797891,0.38358974358974374,Moderate
West Kalimantan,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.5333333333333333,0.0,0.37258347978910344,0.45948717948717954,Moderate
West Kalimantan,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.4608695652173912,0.6666666666666665,0.41124780316344456,0.6864957264957265,High
West Kalimantan,1.0,0.7999999999999998,0.8888888888888888,0.6811594202898551,0.33333333333333304,0.4938488576449911,0.7237606837606836,Moderate
West Nusa Tenggara,0.0,0.3999999999999999,0.22222222222222227,0.33333333333333337,0.6666666666666665,0.523725834797891,0.3237606837606837,Moderate
West Nusa Tenggara,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.3057971014492754,0.6666666666666665,0.4182776801405974,0.42358974358974355,Moderate
West Nusa Tenggara,0.6666666666667425,0.5999999999999999,0.7777777777777779,0.417391304347826,0.6666666666666665,0.764499121265378,0.5794871794871796,High
West Nusa Tenggara,1.0,0.7999999999999998,0.8888888888888888,0.5797101449275363,0.6666666666666665,0.37082601054481534,0.7370940170940172,Moderate
West Papua,0.0,0.19999999999999996,0.1111111111111111,0.3188405797101449,0.6666666666666665,0.523725834797891,0.22290598290598274,Moderate
West Papua,0.6666666666667425,0.3999999999999999,0.6666666666666667,0.3884057971014493,0.33333333333333304,0.4024604569420034,0.3688888888888888,Moderate
West Papua,1.0,0.5999999999999999,0.6666666666666667,0.7246376811594203,0.33333333333333304,0.7047451669595781,0.6420512820512818,Moderate
West Sulawesi,0.0,0.19999999999999996,0.1111111111111111,0.5797101449275363,0.6666666666666665,0.523725834797891,0.2827350427350426,Moderate
West Sulawesi,0.33333333333337123,0.19999999999999996,0.3333333333333333,0.31594202898550716,0.0,0.3022847100175745,0.20820512820512804,Moderate
West Sulawesi,0.6666666666667425,0.5999999999999999,0.7777777777777779,0.38260869565217404,0.6666666666666665,0.5079086115992968,0.516923076923077,Moderate
West Sulawesi,1.0,0.7999999999999998,0.6666666666666667,0.8260869565217391,0.0,0.17750439367311066,0.7124786324786325,Moderate
West Sumatra,0.0,0.3999999999999999,0.1111111111111111,0.5362318840579711,0.6666666666666665,0.523725834797891,0.4126495726495727,Moderate
West Sumatra,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.4057971014492755,0.6666666666666665,0.3550087873462213,0.5856410256410256,High
West Sumatra,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.6376811594202899,0.6666666666666665,0.5957820738137083,0.7811965811965815,High
West Sumatra,1.0,1.0,0.8888888888888888,0.6376811594202899,1.0,0.775043936731107,0.8355555555555556,Moderate
Yogyakarta,0.0,0.7999999999999998,0.22222222222222227,0.9130434782608695,0.6666666666666665,0.523725834797891,0.7422222222222223,High
Yogyakarta,1.0,1.0,0.8888888888888888,1.0,1.0,0.9507908611599296,1.0,Moderate
